1,33379
2,17423
3,6138
4,51265
5,55852
6,38471
7,87742
8,74232
9,89531
10,27107
11,44021
12,66570
13,15450
14,67802
15,80097
16,1946
17,36955
18,28387
19,70703
20,13235
21,90340
22,18649
23,94687
24,16289
25,56869
26,32828
27,26145
28,68945
29,81491
30,95240
31,67940
32,937
33,35683
34,97971
35,83852
36,72029
37,1407
38,99341
39,5302
40,52853
41,13041
42,95502
43,83316
44,35446
45,86541
46,40262
47,67973
48,43801
49,72474
50,67227
51,69632
52,24845
53,51910
54,29610
55,62043
56,88759
57,36933
58,4165
59,72116
60,96666
61,31566
62,21906
63,46848
64,93692
65,97722
66,25239
67,85009
68,12126
69,33434
70,31370
71,6093
72,41538
73,99330
74,26187
75,80498
76,42791
77,13844
78,20769
79,21834
80,55741
81,68031
82,88884
83,12593
84,77991
85,39341
86,50435
87,97224
88,33920
89,34087
90,1761
91,8442
92,94557
93,69886
94,84360
95,47295
96,50210
97,61148
98,66773
99,19212
100,47677
