1,90227
2,99314
3,64865
4,97766
5,88434
6,98620
7,62990
8,82575
9,90150
10,43384
11,26840
12,94296
13,94778
14,9419
15,32383
16,22472
17,57884
18,11372
19,17592
20,97269
21,7464
22,16661
23,43704
24,80341
25,76236
26,40173
27,7617
28,51827
29,46028
30,80478
31,64044
32,7100
33,91751
34,58307
35,93304
36,56756
37,58062
38,1024
39,39553
40,53619
41,58792
42,10294
43,85080
44,10091
45,24833
46,7050
47,57471
48,59563
49,35447
50,28745
51,37210
52,16425
53,56156
54,1070
55,43903
56,75904
57,16212
58,28068
59,11090
60,73273
61,3771
62,69648
63,11706
64,26264
65,89254
66,37302
67,69926
68,35196
69,13454
69,41153
70,16420
71,12183
72,44677
73,97540
74,49703
75,16967
76,93657
77,11665
78,83546
79,28926
80,24878
81,81764
82,11090
83,95034
84,79917
85,25918
86,73119
87,7397
88,68329
89,16355
90,29400
91,75335
92,38316
93,53938
94,96590
95,64658
96,47112
97,4004
98,77057
99,50936
100,38326
