1,37150
2,30317
3,81021
4,37634
5,25967
6,36540
7,70234
8,4432
9,7541
10,42866
11,89947
12,82698
13,9169
14,33630
15,78822
16,18956
17,13833
18,52594
19,82933
20,85257
21,70558
22,34166
23,24338
24,56431
25,13760
26,45623
27,36953
28,24077
29,10922
30,31042
31,58378
32,26248
33,43450
34,2562
35,43794
36,48139
37,65926
38,94892
39,51656
40,3554
41,94936
42,6736
43,47250
44,51309
45,84884
46,57917
47,44992
48,97700
49,22703
50,2675
51,81002
52,26852
53,18405
54,35710
55,33307
56,53914
56,77765
57,29317
58,78898
59,85377
60,69104
61,71328
62,6710
63,27969
64,17202
65,55158
66,56480
67,12289
68,38982
69,45527
70,12981
71,93662
72,27818
73,14745
74,32771
75,56331
76,8401
77,7691
78,57269
79,3939
80,57097
81,66305
82,37902
83,18697
84,55636
85,1100
86,32119
87,69758
88,4707
89,62340
90,91266
91,92554
92,34364
93,8498
94,67440
95,9546
96,42551
97,4699
98,81407
99,16840
100,88198
