1,35332
2,5632
3,8499
4,35430
5,51444
6,94652
7,49135
8,20342
9,49164
10,78362
11,80244
12,60857
13,25640
14,81962
15,23913
16,73769
17,91546
18,32290
19,78502
20,52596
21,89659
22,26862
23,12541
24,95527
25,80982
26,71667
27,15765
28,92773
29,67494
30,55636
31,49523
32,12024
33,58081
34,76322
35,7588
36,55585
37,1606
38,90099
39,83083
40,26369
41,95242
42,6723
43,43304
44,51528
45,60989
46,53889
47,25069
48,20690
49,11916
50,22874
51,6187
52,66539
53,20449
54,73617
55,85566
56,38782
57,35493
58,23204
59,98929
60,23286
61,76775
62,9682
63,6665
64,42122
65,41115
66,82519
67,90720
68,55014
69,33006
70,69964
71,4137
72,96636
73,82193
74,33340
75,21988
76,82430
77,9356
78,67450
79,21250
80,92700
81,25057
82,7379
83,57122
84,879
85,52978
86,79369
87,9307
88,81741
89,96806
90,80229
91,73841
92,16733
93,10114
94,5233
95,26718
96,98280
97,88155
98,36513
99,93640
100,21986
